频道,#genre#
金色学堂,http://110.85.29.113:4022/rtp/239.61.2.78:8462
快乐垂钓,http://110.85.29.113:4022/rtp/239.61.3.8:9566
生活时尚,http://110.85.29.113:4022/rtp/239.61.2.141:8834
中华特产,http://110.85.29.113:4022/rtp/239.61.3.72:9950
车迷,http://110.85.29.113:4022/rtp/239.61.3.64:9902
优优宝贝,http://110.85.29.113:4022/rtp/239.61.3.70:9938
环球旅游,http://110.85.29.113:4022/rtp/239.61.3.66:9914
生态环境,http://110.85.29.113:4022/rtp/239.61.3.68:9926
百姓健康,http://110.85.29.113:4022/rtp/239.61.3.62:9890
四海钓鱼,http://110.85.29.113:4022/rtp/239.61.3.69:9932
家庭理财,http://110.85.29.113:4022/rtp/239.61.3.67:9920
财富天下,http://110.85.29.113:4022/rtp/239.61.3.63:9896
证券服务,http://110.85.29.113:4022/rtp/239.61.3.71:9944
先锋乒羽,http://110.85.29.113:4022/rtp/239.61.3.17:9622
茶,http://110.85.29.113:4022/rtp/239.61.3.59:9872
CHC动作电影,http://110.85.29.113:4022/rtp/239.61.3.16:9616
梨园,http://110.85.29.113:4022/rtp/239.61.3.19:9634
文物宝库,http://110.85.29.113:4022/rtp/239.61.3.21:9646
武术世界,http://110.85.29.113:4022/rtp/239.61.3.22:9652
新动漫,http://110.85.29.113:4022/rtp/239.61.3.18:9628
中学生,http://110.85.29.113:4022/rtp/239.61.3.73:9956
发现之旅,http://110.85.29.113:4022/rtp/239.61.3.74:9962
CGTN法语,http://110.85.29.113:4022/rtp/239.61.3.44:9782
CGTN俄语,http://110.85.29.113:4022/rtp/239.61.3.45:9788
CGTN德语,http://110.85.29.113:4022/rtp/239.61.3.43:9776
CCTV1,http://110.85.29.113:4022/rtp/239.61.3.60:9878
福建综合,http://110.85.29.113:4022/rtp/239.61.2.1:8000
广东卫视,http://119.145.76.245:10000/rtp/239.77.0.2:5146
广东卫视,http://119.145.76.245:10000/rtp/239.77.1.2:5146
广东卫视,http://119.145.76.245:10000/rtp/239.77.1.19:5146
广东卫视,http://119.145.76.245:10000/rtp/239.77.1.152:5146
广东卫视,http://119.145.76.245:10000/rtp/239.77.0.84:5146
广东卫视,http://119.145.76.245:10000/rtp/239.77.0.166:5146
