香港频道,#genre# 
NatGeo Tamil,http://zb.hpc.tw/smtv.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://zb.hpc.tw/smtv.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://zb.hpc.tw/smtv.php?id=discoverykidtamil_raj
Discovery Tamil,http://zb.hpc.tw/smtv.php?id=discoverytamil_raj
Sony Yay Tamil,http://zb.hpc.tw/smtv.php?id=sonyyaytam_raj
Sun TV India,http://zb.hpc.tw/smtv.php?id=suntv_raj
Starmaa HD,http://zb.hpc.tw/smtv.php?id=starmaa_raj
Starmaa Movies HD,http://zb.hpc.tw/smtv.php?id=starmaamovies_raj
Bollyone,http://zb.hpc.tw/smtv.php?id=Bollyone
Vijay Super,http://zb.hpc.tw/smtv.php?id=vijaysuper_raj
Vellithirai,http://zb.hpc.tw/smtv.php?id=Vellithirai

泰国频道,#genre# 
Channel 3 Thailand,http://zb.hpc.tw/smtv.php?id=ch3_pat
Channel 5 Thailand,http://zb.hpc.tw/smtv.php?id=ch5_pat
Channel 7 Thailand,http://zb.hpc.tw/smtv.php?id=ch7_pat
MCOT HD Thailand-1,http://zb.hpc.tw/smtv.php?id=mcot_pat
PPTV Thailand1,http://zb.hpc.tw/smtv.php?id=pptv_pat
Thai Thai,http://zb.hpc.tw/smtv.php?id=thaithai_pat
Amarin,http://zb.hpc.tw/smtv.php?id=amarin_pat
Ch 8,http://zb.hpc.tw/smtv.php?id=ch8_pat
GmmOne,http://zb.hpc.tw/smtv.php?id=gmmone_pat
Mono,http://zb.hpc.tw/smtv.php?id=mono_pat
Thairath,http://zb.hpc.tw/smtv.php?id=thairath_pat
tpbs,http://zb.hpc.tw/smtv.php?id=tpbs_pat
Workpoint,http://zb.hpc.tw/smtv.php?id=workpoint_pat
Gmm Channel,http://zb.hpc.tw/smtv.php?id=gmmchannel_pat
Nation,http://zb.hpc.tw/smtv.php?id=nation_pat
Tnn24,http://zb.hpc.tw/smtv.php?id=tnn24_pat
Nbt,http://zb.hpc.tw/smtv.php?id=nbt_pat
New,http://zb.hpc.tw/smtv.php?id=new_pat
TPTV,http://zb.hpc.tw/smtv.php?id=tptv_pat

英国频道,#genre# 
BBC 1,http://zb.hpc.tw/smtv.php?id=bbc1_antik
BBC 2,http://zb.hpc.tw/smtv.php?id=bbc2_antik
CBBC,http://zb.hpc.tw/smtv.php?id=cbbc_antik
More4,http://zb.hpc.tw/smtv.php?id=more4_antik
Freesports,http://zb.hpc.tw/smtv.php?id=freesports_antik
Pick TV,http://zb.hpc.tw/smtv.php?id=picktv_antik
itv 1,http://zb.hpc.tw/smtv.php?id=itv1_antik
itv 2,http://zb.hpc.tw/smtv.php?id=itv2_antik
Euronews,http://zb.hpc.tw/smtv.php?id=euronews_antik
Channel 4,http://zb.hpc.tw/smtv.php?id=channel4_antik
BBC World News,http://zb.hpc.tw/smtv.php?id=bbcworldnews_antik

越南频道,#genre# 
ANTV,http://zb.hpc.tw/smtv.php?id=viet_antv
VTV 1,http://zb.hpc.tw/smtv.php?id=viet_vtv1
VTV 7,http://zb.hpc.tw/smtv.php?id=viet_vtv7
HTV 7,http://zb.hpc.tw/smtv.php?id=viet_htv7
HTV 9,http://zb.hpc.tw/smtv.php?id=viet_htv9
BPTV 2,http://zb.hpc.tw/smtv.php?id=viet_bptv2
BRT HD,http://zb.hpc.tw/smtv.php?id=viet_brt
Ca Mau TV,http://zb.hpc.tw/smtv.php?id=viet_camautv
