📡央视频道👉,#genre#
浙江卫视,http://113.206.196.242:8004/udp/225.0.4.81:7980
江苏卫视,http://113.206.196.242:8004/udp/225.0.4.79:7980
安徽卫视,http://113.206.196.242:8004/udp/225.0.4.133:7980
广东卫视,http://113.206.196.242:8004/udp/225.0.4.84:7980
北京卫视,http://113.206.196.242:8004/udp/225.0.4.78:7980
天津卫视,http://113.206.196.242:8004/udp/225.0.4.82:7980
辽宁卫视,http://113.206.196.242:8004/udp/225.0.4.98:7980
东方卫视,http://113.206.196.242:8004/udp/225.0.4.80:7980
河北卫视,http://113.206.196.242:8004/udp/225.0.4.174:7980
贵州卫视,http://113.206.196.242:8004/udp/225.0.4.175:7980
山东卫视,http://113.206.196.242:8004/udp/225.0.4.199:7980
东南卫视,http://113.206.196.242:8004/udp/225.0.4.200:7980
黑龙江卫视,http://113.206.196.242:8004/udp/225.0.4.201:7980
深圳卫视,http://113.206.196.242:8004/udp/225.0.4.202:7980
江西卫视,http://113.206.196.242:8004/udp/225.0.4.203:7980
四川卫视,http://113.206.196.242:8004/udp/225.0.4.204:7980
重庆卫视,http://113.206.196.242:8004/udp/225.0.4.187:7980
浙江卫视,http://115.192.144.21:4022/rtp/233.50.201.100:5140
深圳卫视,http://115.192.144.21:4022/rtp/233.50.201.101:5140
广东卫视,http://115.192.144.21:4022/rtp/233.50.201.102:5140
湖南卫视,http://115.192.144.21:4022/rtp/233.50.201.103:5140
天津卫视,http://115.192.144.21:4022/rtp/233.50.201.104:5140
山东卫视,http://115.192.144.21:4022/rtp/233.50.201.105:5140
江苏卫视,http://115.192.144.21:4022/rtp/233.50.201.106:5140
北京卫视,http://115.192.144.21:4022/rtp/233.50.201.107:5140
四川卫视,http://115.192.144.21:4022/rtp/233.50.201.139:5140
河北卫视,http://115.192.144.21:4022/rtp/233.50.201.140:5140
辽宁卫视,http://115.192.144.21:4022/rtp/233.50.201.141:5140
贵州卫视,http://115.192.144.21:4022/rtp/233.50.201.142:5140
重庆卫视,http://115.192.144.21:4022/rtp/233.50.201.143:5140
河南卫视,http://115.192.144.21:4022/rtp/233.50.201.144:5140
江西卫视,http://115.192.144.21:4022/rtp/233.50.201.145:5140
东南卫视,http://115.192.144.21:4022/rtp/233.50.201.146:5140
安徽卫视,http://115.192.144.21:4022/rtp/233.50.201.113:5140
湖北卫视,http://115.192.144.21:4022/rtp/233.50.201.114:5140
黑龙江卫视,http://115.192.144.21:4022/rtp/233.50.201.115:5140
东方卫视,http://115.192.144.21:4022/rtp/233.50.201.125:5140
内蒙古卫视,http://115.192.144.21:4022/rtp/233.50.201.148:5140
甘肃卫视,http://115.192.144.21:4022/rtp/233.50.201.149:5140
海南卫视,http://115.192.144.21:4022/rtp/233.50.201.55:5140
青海卫视,http://115.192.144.21:4022/rtp/233.50.201.65:5140
